school,specialization
dai hoc tong hop hcm,"['nuclear physics', 'nuclear physics', 'dia ly kinh te']"
dai hoc tong hop lien bang dong bac mang ten ammosova lien bang nga,['tai chinh tin dung']
dai hoc tong hop quoc gia belarus,['vat ly']
dai hoc tong hop saint petersburg lb nga,['tien sy kinh te']
dai hoc tran dai nghia,"['chuyen nganh o to', 'chuyen nganh']"
dai hoc troy,"['quan tri kinh doanh', 'business administrator']"
dai hoc truc tuyen funix,['software engineering']
dai hoc trung y duoc nam kinh trung quoc,['dong y']
dai hoc tu do,['chuyen nganh']
dai hoc van hoa 2007 2011,['truyen thong']
dai hoc western sydney,['tai chinh-ngan hang']
dai hoc xa hoi nhan van,"['ngon ngu anh', 'quan he quoc te']"
dai hoc xay dung gia dinh,['lap gia dinh']
dai hoc xay dung nuce,['kien truc va quy hoach']
dai hoc y,['chuyen nganh']
dai hoc y duoc ho ch 2 minh,['pharmacy']
dai hoc y duoc ho chi mi h,['duoc si trung hoc']
dai hoc y duoc ho chi minu,['bac si da khoa']
dai hoc yd hcm,['ki thuat chan doan hinh anh']
dai nam university,['xay dung']
dain hoc lam nghiep viet nam,['cong nghe sinh hoc']
dalat university,['chuyen nganh']
dale carnegie vietnam,['chuyen nganh']
danang college of economics and planning,['chuyen nganh']
danang college technology,"['chemistry, inorganic']"
danang university of economics,['marketing']
dang hoc tai hoc vien chum lmht,['chuyen nganh']
dang hoc yeu duong,['chuyen nganh']
dao lai xe khu vuc 2 q 6,['tai xe']
dao tao bep vang,"['do uong', 'pha che']"
dao tao boi duong can bo cong thuong trung uong,['thuong mai dien tu']
dao tao cbgiao thong van tai,['ke toan']
dao tao chung chi,['bang a anh van']
dao tao co khi yen thanh,['co khi']
dao tao cong nghe may quoc thao,"['merchandise ,qa-qc']"
dao tao kinh te quoc doanh,['quan ly toa nha']
dao tao lai xe nam trieu,['bang c']
dao tao lai xe quy duc,['lai xe dau b2']
dao tao lai xe saigon,['khoa dao tao lai xe chuyen nghiep']
dao tao lai xe thang long,['lai xe hang b2']
dao tao sat hach lai xe song than,['lai xe b2']
dao tao tu xa,['luat hoc']
dao tao ve si,['an ninh']
day bp thanh nga,['chuyen vien trang diem']
day lai xe cu chi,['bang lai xe b2']
day lai xe hoang gia,['tai xe']
day lai xe the gioi,['lai xe']
day nghe,['lai xe']
day nghe 12,['lai xe']
day nghe am thuc western,['chuyen nganh']
day nghe can giuoc,['nghanh may']
day nghe hoang gia,['lai xe']
day nghe lai xe hai van,['b2']
day nghe lai xe quan doi,['bang lai xe']
day nghe long thanh,['lai xe lang']
day nghe nguyen tat thanh hcm,['trung cap ke toan']
day nghe quan 10 hcm,['lai xe']
day nghe quoc thao,['thiet ke rap thoi trang']
day nghe thanh xuan,"['chuyen nghanh dien lanh', 'lap dat thiet bi dien', 'sua chua dien lanh', 'sua chua o to', 'dien tu']"
day nghe thu duc,['tho bao tri dien cong nghiep']
day nghe zasaka,['pha che']
