,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
7487,tôn đức thắng,cntt,tôn đức thắng,"(0.6666666666666666, 'đại học tôn đức thắng')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
7488,ky thuat cao thang,ky thuat dien xi nghiep,ky thuat cao thang,"(0.30434782608695654, 'cao đẳng y tế thanh hóa')",ky thuat dien xi nghiep,"(0.18518518518518517, 'công nghệ kỹ thuật in')"
7489,ĐH Ngoại thương,Quản trị kinh doanh,đại học ngoại thương,"(1.0, 'đại học ngoại thương')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7490,Đại học Cần thơ,ngôn ngữ pháp,đại học cần thơ,"(1.0, 'đại học cần thơ')",ngôn ngữ pháp,"(1.0, 'ngôn ngữ pháp')"
7491,Trường Đại học Ngoại thương cơ sở 2,Tài chính quốc tế,đại học ngoại thương cơ sở 2,"(0.7916666666666666, 'đại học ngoại thương cơ sở 2 tp hcm')",tài chính quốc tế,"(1.0, 'tài chính quốc tế')"
7492,Cao đẳng công nghiệp Tuy hoà,cơ khí chế tạo,cao đẳng công nghiệp tuy hòa,"(0.6363636363636364, 'cao đẳng công nghiệp in')",cơ khí chế tạo,"(1.0, 'cơ khí chế tạo')"
7493,Đại học Giao Thông Vận Tải,công nghệ thông tin,đại học giao thông vận tải,"(1.0, 'đại học giao thông vận tải')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
7494,trung cấp quân y 1,y sĩ,trung cấp quân y 1,"(0.5384615384615384, 'trung cấp')",y sĩ,"(0.14285714285714285, 'vật lý học')"
7495,Văn Lang University,PR,văn lang university,"(0.8235294117647058, 'đại học văn lang')",pr,"(0.07142857142857142, 'bảo vệ thực vật')"
7496,Cao đẳng Kinh Tế Công Nghệ TP.HCM,Tài chính Ngân hàng,cao đẳng kinh tế công nghệ tp.hcm,"(1.0, 'cao đẳng kinh tế công nghệ tphcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
7497,Đại học tài nguyên và môi trường Hà Nội,Quản trị kinh doanh,đại học tài nguyên và môi  hà nội,"(1.0, 'đại học tài nguyên và môi hà nội')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7498,trung cấp nghề,lái xe,trung cấp nghề,"(0.7, 'trung cấp')",lái xe,"(1.0, 'lái xe')"
7499,DH Sư phạm Nghệ thuật TƯ,Sp Mỹ thuật,đại học sư phạm nghệ thuật tư,"(0.75, 'đại học sư phạm nghệ thuật trung ương')",sp mỹ thuật,"(0.5, 'mỹ thuật đô thị')"
7500,Đại học Khoa Học Tự Nhiên - ĐHQGTPHCM,Sinh học,đại học khoa học tự nhiên - đhqgtphcm,"(0.7777777777777778, 'đại học khoa học tự nhiên tp hcm')",sinh học,"(1.0, 'sinh học')"
7501,Cao đẳng Kỹ thuật Việt nam Singapore,cơ khí-Chế tạo,cao đẳng kỹ thuật việt nam singapore,"(0.625, 'cao đẳng nghề việt nam singapore')",cơ khí chế tạo,"(1.0, 'cơ khí chế tạo')"
7502,trung cấp kinh tế kỹ thuật bình định,chăn nuôi thú y,trung cấp kinh tế kỹ thuật bình định,"(0.4444444444444444, 'đại học kinh tế kỹ thuật bình dương')",chăn nuôi thú y,"(1.0, 'chăn nuôi thú y')"
7503,HN Aptech,Lập trình phần mềm,hn aptech,"(0.1891891891891892, 'học viện kỹ thuật mật mã')",lập trình phần mềm,"(0.2857142857142857, 'công nghệ phần mềm')"
7504,trung học BCVT & CNTT ,quản trị kinh doanh,trung học bcvt & cntt,"(0.3684210526315789, 'trung học cơ sở')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7505,thpt nguyen viet xuan,trung hoc,thpt nguyen viet xuan,"(1.0, 'trung học phổ thông')",trung hoc,"(0.4, 'trung tâm')"
7506,Đại Học Ngoại Ngữ Đà Nẵng,tiếng Trung,đại học ngoại ngữ đà nẵng,"(0.9411764705882353, 'đại học ngoại ngữ đại học đà nẵng')",tiếng trung,"(0.5, 'trung tâm')"
7507,trung hoc co so dong hoa,pho thong co so,trung hoc co so dong hoa,"(0.3, 'trung học cơ sở')",pho thong co so,"(0.21428571428571427, 'phổ thông')"
7508,dh thành tây,xây dựng dân dụng công nghiệp,đại học thành tây,"(1.0, 'đại học thành tây')",xây dựng dân dụng công nghiệp,"(0.8260869565217391, 'xây dựng dân dụng và công nghiệp')"
7509,Đh Khoa Học Tự Nhiên TPHCM,Địa Chất,đại học khoa học tự nhiên tphcm,"(0.8, 'đại học khoa học tự nhiên tp hcm')",đi a châ t,"(0.2222222222222222, 'pha chế')"
7510,Học viện tài chính,Tài chính doanh nghiệp,học viện tài chính,"(1.0, 'học viện tài chính')",tài chính doanh nghiệp,"(1.0, 'tài chính doanh nghiệp')"
7511,Trung cấp Âu Việt,Dược sỹ,trung cấp âu việt,"(0.5384615384615384, 'trung cấp')",dược sỹ,"(0.375, 'dược học')"
7512,dhxd Miền Tây,xây dựng dân dụng và môi trường,dhxd miền tây,"(0.2727272727272727, 'đại học xây dựng miền tây')",xây dựng dân dụng và môi trường,"(0.4666666666666667, 'xây dựng dân dụng và công nghiệp')"
7513,Học viện hành chính quốc gia,Hành chính học,học viện hành chính quốc gia,"(1.0, 'học viện hành chính quốc gia')",hành chính học,"(0.42857142857142855, 'chính trị học')"
7514,Học viện Báo chí và Tuyên truyền,Quản lý kinh tế,học viện báo chí và tuyên truyền,"(1.0, 'học viện báo chí và tuyên truyền')",quản lý kinh tế,"(1.0, 'quản lý kinh tế')"
7515,đại học sư phạm Hà Nội,sư phạm tiểu học,đại học sư phạm hà nội,"(1.0, 'đại học sư phạm hà nội')",sư phạm tiểu học,"(0.6428571428571429, 'sư phạm tin học')"
7516,Đại học Sài Gòn,Giáo dục Tiểu học,đại học sài gòn,"(1.0, 'đại học sài gòn')",giáo dục tiểu học,"(1.0, 'giáo dục tiểu học')"
7517,Đại Học Lạc Hồng,Kế Toán,đại học lạc hồng,"(1.0, 'đại học lạc hồng')",kế toán,"(1.0, 'kế toán')"
7518,Đại học Tôn Đức Thắng,Ngôn Ngữ Anh,đại học tôn đức thắng,"(1.0, 'đại học tôn đức thắng')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
7519,không ,không ,không,"(0.3076923076923077, 'sĩ quan không quân')",không,"(0.375, 'phổ thông')"
7520,đại học y dược tp.hcm,gây mê hồi sức,đại học y dược tp.hcm,"(1.0, 'đại học y dược tp hcm')",gây mê hồi sức,"(0.5263157894736842, 'điều dưỡng gây mê hồi sức')"
7521,trung cấp quân y 2,y sỹ đa khoa,trung cấp quân y 2,"(0.5384615384615384, 'trung cấp')",y sỹ đa khoa,"(0.5555555555555556, 'y đa khoa')"
7522,Trường Cao Đẳng Công Nghệ Thông Tin TP HCM,Quản Trị Kinh Doạnh,cao đẳng công nghệ thông tin tp hcm,"(1.0, 'cao đẳng công nghệ thông tin tp hcm')",quản trị kinh doạnh,"(0.75, 'quản trị kinh doanh')"
7523,Trưòng CĐ nghề số 8,Kế toán Doanh Nghiệp,trưòng cđ nghề số 8,"(0.25, 'cao đẳng nghề số 8 bộ quốc phòng')",kế toán doanh nghiệp,"(1.0, 'kế toán doanh nghiệp')"
7524,trung hoc phô thông yên thành 3,lai xe,trung hoc phô thông yên thành 3,"(0.4, 'trung học phổ thông')",lai xe,"(0.3333333333333333, 'lái xe')"
7525,dh ha tinh,kinh doanh,đại học ha tinh,"(0.5384615384615384, 'đại học vinh')",kinh doanh,"(0.6363636363636364, 'luật kinh doanh')"
7526,PSB Academy - Singapore,Bachelor of Commerce,psb academy - singapore,"(0.47619047619047616, 'học viện ngân hàng')",commerce,"(0.875, 'thương mại điện tử')"
7527,Đào tạo bếp vàng,pha chế,đào tạo bếp vàng,"(0.4166666666666667, 'đào tạo')",pha chế,"(1.0, 'pha chế')"
7528,FPT Polytechnic,CNTT,fpt polytechnic,"(1.0, 'đại học fpt')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
7529,Trường Đại học Nông Lâm,Sư phạm kỹ thuật nông nghiệp,đại học nông lâm,"(0.75, 'đại học nông lâm đại học huế')",sư phạm kỹ thuật nông nghiệp,"(1.0, 'sư phạm kỹ thuật nông nghiệp')"
7530,đại học khoa học xã hội và nhân văn đại học quốc gia thành phố hồ chí minh,thông tin học,đại học khoa học xã hội và nhân văn đại học quốc gia tp hcm,"(0.7368421052631579, 'đại học khoa học xã hội và nhân văn tp hcm')",thông tin học,"(0.5, 'hệ thống thông tin')"
7531,Cao Đẳng Công Nghệ Thủ Đức,QTKD,cao đẳng công nghệ thủ đức,"(1.0, 'cao đẳng công nghệ thủ đức')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7532,Family Montessori Pre-school,Philosophy of Montessori Education Method Training course,family montessori pre-school,"(0.25925925925925924, 'trung học cơ sở')",philosophy of montessori education method training course,"(0.22058823529411764, 'hỗ trợ giáo dục người khuyết tật')"
7533, Cao đẳng kỹ nghệ 2,Quản trị nhà hàng khách sạn,cao đẳng kỹ nghệ 2,"(0.7857142857142857, 'cao đẳng kỹ nghệ ii')",quản trị nhà hàng khách sạn,"(0.6190476190476191, 'quản trị khách sạn')"
7534,Cao Đẳng Kỹ Nghệ 2,Quản trị nhà hàng khách sạn,cao đẳng kỹ nghệ 2,"(0.7857142857142857, 'cao đẳng kỹ nghệ ii')",quản trị nhà hàng khách sạn,"(0.6190476190476191, 'quản trị khách sạn')"
7535,Đại học Luật Thành phố Hồ Chí Minh,Luật Hình Sự,đại học luật tp hcm,"(1.0, 'đại học luật tp hcm')",luật hình sự,"(0.6666666666666666, 'kỹ thuật hình sự')"
7536,đại học thủy lợi,kỹ thuật công thuỷ,đại học thủy lợi,"(1.0, 'đại học thủy lợi')",kỹ thuật công thuỷ,"(0.5882352941176471, 'kỹ thuật công nghiệp')"
7537,Đại Học Tôn Đức Thắng,Ngôn Ngữ Anh chuyên ngành Sư Phạm,đại học tôn đức thắng,"(1.0, 'đại học tôn đức thắng')",ngôn ngữ anh  sư phạm,"(0.5714285714285714, 'ngôn ngữ anh')"
7538,ĐH Văn Lang,ngôn ngữ anh,đại học văn lang,"(1.0, 'đại học văn lang')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
7539,CD Kinh Tế Kĩ Thuật VNT TP HCM,Thiết Kế Thời Trang,cd kinh tế kĩ thuật việt namt tp hcm,"(0.4166666666666667, 'cao đẳng kinh tế kỹ thuật tp hcm')",thiết kế thời trang,"(1.0, 'thiết kế thời trang')"
7540,truong khuyet tat ben tre,cong ty cong nhan,truong khuyet tat ben tre,"(0.2727272727272727, 'đại học nguyễn tất thành')",cong ty cong nhan,"(0.21428571428571427, 'thanh nhạc')"
7541,Trường Cao Đẳng kinh tế công nghệ tp.hcm,sinh học ứng dụng,cao đẳng kinh tế công nghệ tp.hcm,"(1.0, 'cao đẳng kinh tế công nghệ tphcm')",sinh học ứng dụng,"(1.0, 'sinh học ứng dụng')"
7542,Lai xe thu duc,Lai xe,lai xe thu duc,"(0.29411764705882354, 'cao đẳng kinh tế kỹ thuật thủ đức')",lai xe,"(0.3333333333333333, 'lái xe')"
7543,đại học tài chính quản trị kinh doanh,quản trị kinh doanh tổng hợp,đại học tài chính quản trị kinh doanh,"(1.0, 'đại học tài chính quản trị kinh doanh')",quản trị kinh doanh tổng hợp,"(0.6666666666666666, 'quản trị kinh doanh')"
7544,Cao đẳng Kinh tế đối ngoại,Quản trị kinh doanh,cao đẳng kinh tế đối ngoại,"(1.0, 'cao đẳng kinh tế đối ngoại')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7545,trung tâm đào tạo quốc tế Kent,thiết kế đồ hoạ - nhận dạng thương hiệu,trung tâm đào tạo quốc tế kent,"(0.30434782608695654, 'trung tâm')",thiết kế đồ họa nhận dạng thương hiệu,"(0.4230769230769231, 'thiết kế đồ họa')"
7546,mỏ địa chất,kỹ thuật trắc địa,mỏ địa chất,"(0.5714285714285714, 'đại học mỏ địa chất')",kỹ thuật trắc địa,"(0.7222222222222222, 'kỹ thuật trắc địa bản đồ')"
7547,đại học công nghiệp thực phẩm,đảm bảo chất lượng và vệ sinh an toàn thực phẩm,đại học công nghiệp thực phẩm,"(0.8461538461538461, 'đại học công nghiệp thực phẩm tp hcm')",đảm bảo chất lượng và vệ sinh an toàn thực phẩm,"(0.7777777777777778, 'đảm bảo chất lượng và an toàn thực phẩm')"
7548,hoa sữa,nấu ăn,hoa sữa,"(0.23076923076923078, 'đại học hoa sen')",nấu ăn,"(1.0, 'nấu ăn')"
7549,Đại học Mở TPHCM,Quản Trị Kinh Doanh,đại học mở tphcm,"(1.0, 'đại học mở tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7550,Đại học Văn hóa Thành phố Hồ Chí Minh,Trung cấp Thư Viện Thông Tin,đại học văn hóa tp hcm,"(1.0, 'đại học văn hóa tp hcm')",trung cấp thư viện thông tin,"(0.65, 'thông tin thư viện')"
7551,Trường Đại Học Lạc Hồng,Điện Công Nghiệp,đại học lạc hồng,"(1.0, 'đại học lạc hồng')",điện công nghiệp,"(1.0, 'điện công nghiệp')"
7552,Hutech University,finance banking,hutech university,"(1.0, 'đại học công nghệ tp hcm')",finance banking,"(1.0, 'tài chính ngân hàng')"
7553,THPT Việt Nam Ba Lan,âm nhạc,thpt việt nam ba lan,"(1.0, 'trung học phổ thông')",âm nhạc,"(0.625, 'âm nhạc học')"
7554,Trung tâm giáo dục thường xuyên tỉnh Cần Thơ,Kế toán,trung tâm giáo dục thường xuyên tỉnh cần thơ,"(0.21875, 'trung tâm')",kế toán,"(1.0, 'kế toán')"
7555,Đại Học Tây Nguyên,Giáo dục mầm non,đại học tây nguyên,"(0.5555555555555556, 'đại học tây nguyên')",gia o du c mâ m non,"(0.3333333333333333, 'giáo dục mầm non')"
7556,Đại học Ngân Hàng Tp. Hồ Chí Minh,Quản Trị Kinh Doanh,đại học ngân hàng tp. hcm,"(1.0, 'đại học ngân hàng tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7557,đại học Văn Hóa tp.HCM,Bảo tàng học,đại học văn hóa tp.hcm,"(1.0, 'đại học văn hóa tp hcm')",bảo tàng học,"(1.0, 'bảo tàng học')"
7558,cao đẳng y tế Kiên Giang,dược sĩ,cao đẳng y tế kiên giang,"(1.0, 'cao đẳng y tế kiên giang')",dược sĩ,"(0.375, 'dược học')"
7559,trường Văn hóa - nghệ thuật Kiên Giang,Nói trước công chúng và MC,văn hóa - nghệ thuật kiên giang,"(0.5, 'cao đẳng văn hóa nghệ thuật nghệ an')",nói trước công chúng và mc,"(0.28, 'quan hệ công chúng')"
7560,Đại học Luật Tp.HCM,Luật Hành chính,đại học luật tp.hcm,"(1.0, 'đại học luật tp hcm')",luật hành chính,"(0.5238095238095238, 'luật hiến pháp và luật hành chính')"
7561,đại học cần thơ,sư phạm hóa học,đại học cần thơ,"(1.0, 'đại học cần thơ')",sư phạm hóa học,"(1.0, 'sư phạm hóa học')"
7562,Đại học xây dụng,xây dựng dân dụng và công nghiệp,đại học xây dụng,"(0.5263157894736842, 'đại học xây dựng hà nội')",xây dựng dân dụng và công nghiệp,"(1.0, 'xây dựng dân dụng và công nghiệp')"
7563,dai hoc su pham ky thuat,ky thuat,đại học su pham ky thuat,"(0.36, 'đại học southampton')",ky thuat,"(0.2857142857142857, 'toán học')"
7564,sư phạm kỹ thuật,kỹ thuật,sư phạm kỹ thuật,"(0.5454545454545454, 'đại học sư phạm kỹ thuật tp hcm')",kỹ thuật,"(0.75, 'cơ kỹ thuật')"
7565,cao đẳng sư phạm trung ương nha trang,giáo  dục mầm non,cao đẳng sư phạm trung ương nha trang,"(1.0, 'cao đẳng sư phạm trung ương nha trang')",giáo dục mầm non,"(1.0, 'giáo dục mầm non')"
7566,cao đẳng thương mại và du lịch hà nôi và đã từng học khóa ktoans thực tế chuyên sâu,kế toán tổng hợp,cao đẳng thương mại và du lịch hà nôi và đã từng học khóa ktoans thực tế chuyên sâu,"(0.423728813559322, 'cao đẳng thương mại và du lịch hà nội')",kế toán tổng hợp,"(0.4166666666666667, 'kế toán')"
7567,hutech,quản trị kinh doanh,hutech,"(1.0, 'đại học công nghệ tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7568,trường cđ công nghệ thủ đức,Quản trị kinh doanh,cđ công nghệ thủ đức,"(0.6, 'cao đẳng công nghệ thủ đức')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7569,Đại học Ngân Hàng TPHCM,Tài chính ngân hàng,đại học ngân hàng tphcm,"(1.0, 'đại học ngân hàng tp hcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
7570,Trung cấp kỹ thuật Tây Nam Á,công nghệ thông tin,trung cấp kỹ thuật tây nam á,"(0.3333333333333333, 'trung cấp')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
7571,Trường Đại học Công nghiệp Thực phẩm,Công nghệ thực phẩm,đại học công nghiệp thực phẩm,"(0.8461538461538461, 'đại học công nghiệp thực phẩm tp hcm')",công nghệ thực phẩm,"(1.0, 'công nghệ thực phẩm')"
7572,Học viện Báo chí và Tuyên truyền,Quan hệ công chúng,học viện báo chí và tuyên truyền,"(1.0, 'học viện báo chí và tuyên truyền')",quan hệ công chúng,"(1.0, 'quan hệ công chúng')"
7573,cao đẳng công nghiệp hưng yên,điện điện tử,cao đẳng công nghiệp hưng yên,"(1.0, 'cao đẳng công nghiệp hưng yên')",công nghệ kỹ thuật điện điện tử,"(1.0, 'công nghệ kỹ thuật điện điện tử')"
7574,TÔN ĐỨC THẮNG,QUẢN TRỊ KINH DOANH QUỐC TẾ,tôn đức thắng,"(0.6666666666666666, 'đại học tôn đức thắng')",quản trị kinh doanh quốc tế,"(0.8181818181818182, 'quản trị và kinh doanh quốc tế')"
7575,thpt go vap,12/12,thpt go vap,"(1.0, 'trung học phổ thông')",12 12,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
7576,Trường đại học công nghiệp thực phẩm Tp. hcm,Công nghệ chế biến thủy sản,đại học công nghiệp thực phẩm tp. hcm,"(1.0, 'đại học công nghiệp thực phẩm tp hcm')",công nghệ chế biến thủy sản,"(1.0, 'công nghệ chế biến thủy sản')"
7577,Đại học Kinh tế TpHCm,Ngoại Thương QTKD,đại học kinh tế tphcm,"(1.0, 'đại học kinh tế tp hcm')",ngoại thương quản trị kinh doanh,"(0.5833333333333334, 'quản trị kinh doanh')"
7578,đại học nguyễn tất thành,ngoại ngữ anh,đại học nguyễn tất thành,"(1.0, 'đại học nguyễn tất thành')",ngoại ngữ anh,"(0.4166666666666667, 'ngôn ngữ anh')"
7579,kinh Doanh Công Nghệ Hà Nội,Tài Chính Ngân Hành,kinh doanh công nghệ hà nội,"(0.6428571428571429, 'đại học kinh doanh và công nghệ hà nội')",tài chính ngân hành,"(1.0, 'tài chính ngân hàng')"
7580,trường cao đẳng nghề kỉ thuật công nghệ dung quất,cơ khí chế tạo chuyên nghành hàn,cao đẳng nghề kỉ thuật công nghệ dung quất,"(0.6206896551724138, 'cao đẳng nghề kỹ thuật công nghệ')",cơ khí chế tạo chuyên nghành hàn,"(0.45454545454545453, 'cơ khí chế tạo')"
7581,cao dang kinh Te kỹ thuật Phú Lâm,May và thiết kế thời trang,cao dang kinh te kỹ thuật phú lâm,"(0.53125, 'cao đẳng kinh tế kỹ thuật phú thọ')",may và thiết kế thời trang,"(0.7222222222222222, 'thiết kế thời trang')"
7582,trung cấp nghe yen bai,sua chua,trung cấp nghe yen bai,"(0.4375, 'trung cấp')",sua chua,"(0.25, 'pha chế')"
7583,Đại Học Kinh Tế TPHCM,Quản Trị Kinh Doanh,đại học kinh tế tphcm,"(1.0, 'đại học kinh tế tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7584,cao đẳng sư phạm trung ương thành phố Hồ Chí Minh,chuyên ngành mỹ thuật,cao đẳng sư phạm trung ương tp hcm,"(1.0, 'cao đẳng sư phạm trung ương tp hcm')",mỹ thuật,"(0.6, 'mỹ thuật đô thị')"
7585,University of Finance and Marketing,International Trade,university of finance and marketing,"(0.8620689655172413, 'đại học tài chính marketing')",international trade,"(0.8421052631578947, 'luật thương mại quốc tế')"
7586,di nong lam,điều khiển tự động,di nong lam,"(0.3333333333333333, 'đại học nông lâm tp hcm')",điều khiển tự động,"(0.48148148148148145, 'kỹ thuật điều khiển và tự động hóa')"
7587,FPT POLYTECHNIC,MARKETING,fpt polytechnic,"(1.0, 'đại học fpt')",marketing,"(1.0, 'marketing')"
7588,học viện tài chính,tài chính ngân hàng,học viện tài chính,"(1.0, 'học viện tài chính')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
7589,Đại học Thăng Long,Ngôn Ngữ Anh,đại học thăng long,"(1.0, 'đại học thăng long')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
7590,Trường cao đẳng kĩ thuật thành phố hồ chí minh,kế toán,cao đẳng kĩ thuật tp hcm,"(0.6153846153846154, 'cao đẳng kinh tế kỹ thuật tp hcm')",kế toán,"(1.0, 'kế toán')"
7591,Đại học Hoa Sen,Công nghệ thông tin,đại học hoa sen,"(1.0, 'đại học hoa sen')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
7592,University of Finance and Marketig,Quản trị Khách sạn,university of finance and marketig,"(0.8, 'đại học tài chính marketing')",quản trị khách sạn,"(1.0, 'quản trị khách sạn')"
7593,ĐẠI HỌC KIẾN TRÚC ĐÀ NẴNG,quản trị kd,đại học kiến trúc đà nẵng,"(1.0, 'đại học kiến trúc đà nẵng')",quản trị kd,"(0.5, 'quản trị luật')"
7594,cao đẳng tài chính hải quan,thpt,cao đẳng tài chính hải quan,"(1.0, 'cao đẳng tài chính hải quan')",Phổ thông,"(1.0, 'phổ thông')"
7595,cao đẳng dược hồng đức,dược sĩ,cao đẳng dược hồng đức,"(0.55, 'cao đẳng dược hà nội')",dược sĩ,"(0.375, 'dược học')"
7596,học viện nông nghiệp việt nam,quản trị kinh doanh,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7597,TTGDTX q9,cấp 3,ttgdtx q9,"(0.05555555555555555, 'cao đẳng dầu khí')",cấp 3,"(0.25, 'trung cấp')"
7598,Đại học Khoa học Tự Nhiên Hà Nội,khoa học môi trường,đại học khoa học tự nhiên hà nội,"(1.0, 'đại học khoa học tự nhiên hà nội')",khoa học môi trường,"(1.0, 'khoa học môi trường')"
7599,Cao đẳng quản trị nhà hàng khách sạn việt úc ,Quản lí nhà hàng ,cao đẳng quản trị nhà hàng khách sạn việt úc,"(0.375, 'cao đẳng nghề việt hàn quảng ninh')",quản lí nhà hàng,"(0.4375, 'quản lý nhà nước')"
7600,THCS VÕ NINH,vẽ tranh,thcs võ ninh,"(1.0, 'trung học cơ sở')",vẽ tranh,"(0.21428571428571427, 'huấn luyện múa')"
7601,trung hoc co so phu lang,trung cap,trung hoc co so phu lang,"(0.2727272727272727, 'trung học cơ sở')",trung cap,"(0.5555555555555556, 'trung cấp')"
7602,Đại học Văn Hiến,Quản Trị Kinh Doanh,đại học văn hiến,"(1.0, 'đại học văn hiến')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7603,trường trung học phô thông yên thành 3,lái xe và sựa điện nước,trung học phô thông yên thành 3,"(0.5217391304347826, 'trung học phổ thông')",lái xe và sựa điện nước,"(0.23529411764705882, 'lái xe')"
7604,Đại học Bách Khoa TpHCM,kỹ thuật vật liệu,đại học bách khoa tphcm,"(1.0, 'đại học bách khoa tp hcm')",kỹ thuật vật liệu,"(1.0, 'kỹ thuật vật liệu')"
7605,cao đẳng kinh tế tphcm,quản trị kinh doanh,cao đẳng kinh tế tp hcm,"(1.0, 'cao đẳng kinh tế tphcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
7606,cao dang hang hai hai phong,kế toán,cao dang hang hai hai phong,"(0.2916666666666667, 'đại học hải phòng')",kế toán,"(1.0, 'kế toán')"
7607,đại học công nghiệp TPHCM,kĩ thuật điện,đại học công nghiệp tphcm,"(1.0, 'đại học công nghiệp tp hcm')",kĩ thuật điện,"(0.6666666666666666, 'kỹ thuật điện')"
7608,đại học tôn đức thắng,xây dựng dân dụng và công nghiệp,đại học tôn đức thắng,"(1.0, 'đại học tôn đức thắng')",xây dựng dân dụng và công nghiệp,"(1.0, 'xây dựng dân dụng và công nghiệp')"
7609,trường trung học cơ sở kiến an,không,trung học cơ sở kiến an,"(0.6470588235294118, 'trung học cơ sở')",không,"(0.375, 'phổ thông')"
7610,trường dạy lái xe củ chi,bằng lái xe B2,dạy lái xe củ chi,"(0.125, 'dạy nghề')",bằng lái xe b2,"(0.4, 'lái xe')"
7611,sân khấu đện ảnh,quay phim điện ảnh,sân khấu đện ảnh,"(0.44, 'đại học sân khấu điện ảnh tp hcm')",quay phim điện ảnh,"(0.5, 'quay phim')"
7612,Trường Đại học Công Nghiệp TPHCM,Công nghệ ô tô,đại học công nghiệp tphcm,"(1.0, 'đại học công nghiệp tp hcm')",công nghệ ô tô,"(0.5, 'công nghệ kỹ thuật ô tô')"
7613,Trường Đại học Kinh tế TPHCM,Ngoại thương,đại học kinh tế tphcm,"(1.0, 'đại học kinh tế tp hcm')",ngoại thương,"(0.35294117647058826, 'thương mại điện tử')"
7614,Cao đẳng nghề Công nghệ cao Hà Nội,Điện - Điện tử,cao đẳng nghề công nghệ cao hà nội,"(1.0, 'cao đẳng nghề công nghệ cao hà nội')",công nghệ kỹ thuật điện điện tử,"(1.0, 'công nghệ kỹ thuật điện điện tử')"
7615,kinh tế quốc dân,kinh tế,kinh tế quốc dân,"(0.6666666666666666, 'đại học kinh tế quốc dân')",kinh tế,"(1.0, 'kinh tế')"
7616,ĐH Luật TP HCM,Hành chính,đại học luật tp hcm,"(1.0, 'đại học luật tp hcm')",hành chính,"(0.42857142857142855, 'tài chính ngân hàng')"
7617,đại học Khoa học tự nhiên - DH QGHN,Hóa học,đại học khoa học tự nhiên - đại học quốc gia hà nội,"(0.7241379310344828, 'đại học khoa học tự nhiên hà nội')",hóa học,"(1.0, 'hóa học')"
7618,DH KHTN - DH QGHN,Môi trường,đại học khoa học tự nhiên - đại học quốc gia hà nội,"(0.7241379310344828, 'đại học khoa học tự nhiên hà nội')",môi trường,"(0.5333333333333333, 'khoa học môi trường')"
7619,trường công nhân kỹ thuật nhân đạo,điện tử,công nhân kỹ thuật nhân đạo,"(0.38235294117647056, 'đại học kỹ thuật hậu cần công an nhân dân')",điện tử,"(0.35714285714285715, 'thương mại điện tử')"
7620,trung tâm huấn luyên và bồi dưỡng nghiệp vụ công an an giang,phòng cảnh sát pccc,trung tâm huấn luyên và bồi dưỡng nghiệp vụ công an an giang,"(0.22448979591836735, 'đại học công nghiệp việt hung')",phòng cảnh sát pccc,"(0.3333333333333333, 'nghiệp vụ cảnh sát')"
7621,dai hoc,anh ngu,đại học,"(0.625, 'đại học fpt')",anh ngu,"(0.3333333333333333, 'thanh nhạc')"
7622,cao dang nghe so 8,co khi,cao dang nghe so 8,"(0.3157894736842105, 'cao đẳng nghề an giang')",co khi,"(0.25, 'nấu ăn')"
7623,San Jose State University,Computer Electronics and Network Technology,san jose state university,"(0.4642857142857143, 'đại học manchester')",computer electronics and network technology,"(0.4375, 'công nghệ kỹ thuật điện điện tử')"
7624,Đại Học Nông Lâm,Kế Toán,đại học nông lâm,"(0.75, 'đại học nông lâm đại học huế')",kế toán,"(1.0, 'kế toán')"
