school,specialization
cao dang kinh te cong nghe hcm,"['quan tri nha hang va dich vu an uong', 'cong nghe sinh hoc', 'quan tri kinh doanh', 'quan tri van phong', 'tai chinh ngan hang', 'hoc xay dung dan dung va cong nghiep', 'tai chinh ngan hang', 'quan tri kinh doanh', 'cntt', 'cong nghe thong tin', 'quan tri kinh doanh', 'cong nghe sinh hoc', 'quan tri khach san', 'quan tri kinh doanh', 'ke toan', 'quan tri van phong', 'quan tri dich vu du lich va lu hanh', 'cntt', 'ke toan', 'ky thuat dien -dien tu', 'ky thuat dien -dien tu', 'tai chinh ngan hang', 'quan tri kinh doanh', 'cong nghe phan mem', 'tai chinh ngan hang', 'tai chinh ngan hang', 'sinh hoc ung dung', 'quan tri nhan su', 'ke toan', 'quan tri kinh doanh', 'chuyen nganh']"
cao dang kinh te cong nghe hcm hiast,['administrative body']
cao dang kinh te cong nghe l hcm,['tai chinh ngan hang']
cao dang kinh te cong nghep ha noi,['khe toan tin']
cao dang kinh te cong nghiep,['ke toan']
cao dang kinh te cong nghiep ha noi,"['ke toan doanh nghiep', 'tin ung dung', 'ke toan tong hop', 'quan tri kinh doanh', 'tin hoc ung dung', 'ke toan', 'quan tri kinh doanh', 'ke toan tong hop', 'ke toan doanh nghiep cong nghiep', 'ke toan']"
cao dang kinh te doi ngoai,"['quan tri kinh doanh', 'ke toan thuong mai', 'marketing thuong mai', 'xuat - nhap khau', 'xuat nhap khau', 'kinh doanh quoc te', 'kinh doanh xuat nhap khau', 'tieng anh thuong mai', 'xuat nhap khau', 'chuyen nghanh kinh doanh xuat nhap khau', 'marketing thuong mai', 'xuat nhap khau', 'quan tri kinh doanh thuong mai', 'tai chinh ngan hang', 'kinh doanh quoc te', 'kinh doanh xuat- nhap khau', 'quan tri kinh doanh', 'quan tri doanh nghiep thuong mai', 'tieng anh thuong mai', 'ke toan', 'kinh doanh quoc te', 'marketing', 'xuat nhap khau', 'ke toan', 'tai chinh', 'marketing', 'ke toan doanh nghiep', 'tieng anh thuong mai', 'ke toan doanh nghiep', 'xuat nhap khau ( da bao luu )', 'xuat nhap khau', 'xuat nhap khau', 'tieng anh thuong mai', 'marketing thuong mai', 'xuat nhap khau', 'ke toan', 'kinh doanh quoc te', 'thuong mai quoc te', 'tieng anh thuong mai', 'xuat nhap khau', 'ke toan', 'ke toan doanh nghiep thuong mai', 'quan tri kinh doanh', 'tieng anh thuong mai', 'ke toan doanh nghiep thuong mai', 'xuat nhap khau', 'quan tri kinh doanh', 'kinh doanh xuat nhap khau', 'nganh quan tri kd', 'quan tri kinh doanh', 'ke toan tong hop', 'quan tri doanh nghiep thuong mai', 'chuyen nganh', 'chuyen nghanh ke toan doanh nghiep', 'quan tri kinh doanh', 'quan tri nha hang - khach san', 'chuyen nganh']"
cao dang kinh te doi ngoai cofer,['marketing thuong mai']
cao dang kinh te doi ngoai hcm,"['kinh doanh xuat nhap khau', 'ke toan', 'tai chinh ngan hang']"
cao dang kinh te hcm,"['ke toan', 'tai chinh ke toan', 'tai chinh ke toan', 'kinh doanh thuong mai', 'ke toan doanh nghiep', 'quan tri kinh doanh', 'ke toan doanh nghiep', 'quan tri kinh doanh', 'trung cap ke toan', 'tai chinh ke toan', 'kinh doanh quoc te', 'quan tri kinh doanh', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'quan tri kinh doanhho', 'ke toan doanh nghiep', 'ke toan tai chinh doanh nghiep', 'ke toan', 'tieng anh', 'tai chinh ke toan', 'ke toan', 'kinh doanh quoc te', 'quan tri kinh doanh', 'ke toan', 'ke toan doanh nghiep', 'ke toan doanh nghiep', 'ke toan doanh nghiep', 'quan tri kinh doanh', 'quan tri kinh doanh', 'quan tri kinh doanh', 'ke toan', 'quan tri kinh doanh', 'ke toan', 'ke toan', 'ke toan', 'chuyen nganh', 'ke toan', 'chuyen nganh']"
cao dang kinh te ke hoach,['ke toan tong hop']
cao dang kinh te ke hoach da nang,"['ke toan doanh nghiep', 'ke toan tong hop', 'tieng anh thuong mai', 'quan tri kinh doanh']"
cao dang kinh te ki thuat kien giang,['dien cong nghiep']
cao dang kinh te ki thuat phu lam,['cong nghe may & thiet ke thoi trang']
cao dang kinh te ki thuat sai gon,['quan tri kinh doanh']
cao dang kinh te ki thuat thuong mai,"['tieng anh du lich', 'quan tri kinh doanh', 'quan tri kinh doanh thuong mai', 'ke toan', 'ke toan']"
cao dang kinh te ki thuat thuong mai ha tay,['chuyen nganh']
cao dang kinh te ki thuat vinatex,['may']
cao dang kinh te ki thuat vnt hcm,['thiet ke thoi trang']
cao dang kinh te ky thuat can tho,"['cong nghe thong tin', 'quan tri kinh doanh', 'cong nghe thuc pham', 'tai chinh ngan hang chuyen nganh thue nha nuoc', 'cong nghe thuc pham', 'cong nghe che bien va bao quan thuc pham', 'quan ly dat dai', 'chuyen nganh', 'quan ly tai nguyen va moi truong']"
cao dang kinh te ky thuat cong nghiep 2,['chuyen nganh thiet ke thoi trang']
cao dang kinh te ky thuat cong nghiep ha noi,"['tai chinh', 'ke toan doanh nghiep']"
cao dang kinh te ky thuat cong nghiep ll,['che do tao may']
cao dang kinh te ky thuat dong du,['ke toan']
cao dang kinh te ky thuat ha noi,['ke toan']
cao dang kinh te ky thuat hcm,"['quan tri kinh doanh', 'cong nghe may & thiet ke thoi trang', 'quan tri kinh doanh', 'tieng anh', 'quan tri kinh doanh', 'ke toan']"
cao dang kinh te ky thuat kien giang,"['trung cadp ke toan', 'chuyen nganh']"
cao dang kinh te ky thuat mien nam,"['trung cap tai chinh ngan hang', 'dieu duong', 'tai chinh ngan hang', 'chuyen nganh']"
cao dang kinh te ky thuat phu lam,"['cong nghe thong tin', 'ky thuat', 'cong nghe thong tin', 'cong nghe thong tin', 'dien', 'may va thiet ke thoi trang']"
cao dang kinh te ky thuat quang nam,['ke toan tong hop']
cao dang kinh te ky thuat sai gon,"['ke toan', 'quan tri kinh doanh']"
cao dang kinh te ky thuat thai nguyen,['quan ly xay dung']
cao dang kinh te ky thuat thuong mai,"['ke toan', 'tieng anh thuong mai', 'ke toan', 'quan tri kinh doanh', 'tieng anh thuong mai', 'quan tri kinh doanh']"
cao dang kinh te ky thuat trung uong,"['quan tri kinh doanh', 'quan tri kinh doanh', 'ke toan', 'ke toan', 'ke toan']"
cao dang kinh te ky thuat vinatex,"['quan tri kinh doanh', 'cong nghe may', 'dien - dien tu', 'ke toan']"
cao dang kinh te ky thuat vinatex hcm,"['cong nghe may', 'ke toan', 'dien -dienntu', 'cong nghe thong tin', 'ke toan', 'tieng anh']"
cao dang kinh te ky thuat vinatex viet nam,['quan tri kinh doanh']
cao dang kinh te ky thuat vinh phuc,"['dien-dien tu', 'chuyen nganh: dien - dien tu']"
cao dang kinh te ky thuay quang nam,['chuyen nganh ke toan']
cao dang kinh te tai chinh,['tai chinh - ngan hang']
cao dang kinh te tai chinh thai nguyen,"['ke toan', 'tai chinh ngan hang']"
cao dang kinh te thuat cong nghiep,['ke toan']
cao dang kt cao thang,"['sua chua co khi.han xi', 'dien dien tu']"
cao dang kt cong nghe hcm,['ke toan']
cao dang kt kt,['ke toan']
cao dang kt kt vinatex,['cong nghe may']
cao dang kt kt vinatex hcm,"['cong nghe may', 'thiet ke thoi trang']"
cao dang kt ly tu trong,['cong nghe ky thuat nhiet lanh']
cao dang ktcn hcm co so binh duong ky nghe 2,['chuyen nganh']
cao dang ktcn hung vuong,['cntt']
cao dang ktcn van xuan,['huong dan vien']
cao dang ktkh da nang,['ke toan']
cao dang ktkt thuong mai,['ke toan thuong mai']
cao dang ky nghe 2,"['cong nghe o to', 'quan ly nha hang khach san', 'quan tri nha hang khach san', 'quan tri nha hang khach san', 'duoc']"
cao dang ky thuat cao thang,"['ke toan', 'dien tu cong nghiep va dan dung', 'co khi oto', 'co khi oto', 'co khi oto', 'co khi oto', 'co khi oto', 'co khi oto', 'co khi oto', 'co khi oto', 'tu dong hoa', 'han', 'dien- dien tu', 'trung cap dien cong nghiep', 'co khi che tao may', 'co khi o to', 'dien tu cong nghiep', 'cong nghe ky thuat o to', 'co khi dong luc', 'tu dong hoa', 'tin hoc', 'co khi dong luc. co khi o to', 'co dien tu', 'chuyen nganh', 'chuyen nganh', 'dien lanh', 'chuyen nganh', 'chuyen nganh kinh te', 'chuyen nganh', 'cong nghe ky thuat dien tu - truyen thong', 'otomotif']"
cao dang ky thuat cong nghe dong nai,['chuyen nganh']
cao dang ky thuat cong nghe quy nhon,['ke toan doanh nghiep']
cao dang ky thuat cong nghe van xuan,"['ke toan', 'ke toan doanh nghiep', 'chuyen nganh']"
cao dang ky thuat cong nghiep,['co khi']
cao dang ky thuat cong nghiep ly tu trong,['co khi chinh xac. cnc']
cao dang ky thuat hcm,['co khi']
cao dang ky thuat ly tu trong,"['co khi', 'cong nghe thong tin', 'tu dong hoa', 'dien - dien tu', 'dien-dien tu', 'cong nghe oto', 'cong nghe may - thiet ke', 'ky thuat co khi', 'ky thuat may', 'chuyen nganh', 'cntt - it', 'chuyen nganh', 'cong nghe ky thuat dien', 'chuyen nganh']"
cao dang ky thuat ly tu trong hcm,['cong nghe va ky thuat oto']
cao dang ky thuat nghiep vu thu duc,['cntt']
cao dang ky thuat viet duc nghe an,['dien cong nghiep']
cao dang ky thuat viet nam singapore,['co khi-che tao']
