,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
1886,Lunghwa University,lunghwa university,lunghwa university,Chemical&Engineering,chemical engineering,ky thuat hoa hoc
1887,Ton Duc Thang University,ton duc thang university,dai hoc ton duc thang,Chemical Engineering,chemical engineering,ky thuat hoa hoc
1888,Trường Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Công nghệ May-Thời trang,cong nghe may thoi trang,cong nghe may thoi trang
1889,Đại học Khoa học Tự Nhiên- đại học quốc gia Hà Nội,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,Địa chất môi trường,dia chat moi truong,dia chat moi truong
1890,Cao Đẳng Công Thương,cao dang cong thuong,cao dang cong thuong hcm,Tự Động Hoá,tu dong hoa,tu dong hoa
1891,lạng sơn,lang son,cao dang nghe lang son,học sinh lớp,hoc sinh lop,sinh hoc
1892,ĐH Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,Điều Dưỡng Đa Khoa,dieu duong da khoa,dieu duong
1893,Cao Đẳng Kinh Doanh Công Nghệ Hà Nội,cao dang kinh doanh cong nghe ha noi,cao dang nghe kinh doanh cong nghe ha noi,0,0,0
1894,Học Viện Hàng Không Việt Nam,hoc vien hang khong viet nam,hoc vien hang khong viet nam,Phục Vụ Hàng Hoá,phuc vu hang hoa,phuc vu hang hoa
1895,Đại Học Ngoại Ngữ,dai hoc ngoai ngu,dai hoc ngoai ngu hue,Ngôn Ngữ Anh,ngon ngu anh,ngon ngu anh
1896,Trường Cao Đẳng Kĩ Thuật Cao Thắng,cao dang ki thuat cao thang,cao dang ky thuat cao thang,Học Công nghệ kỹ thuật điều khiển và tự động hóa,hoc cong nghe ky thuat dieu khien tu dong hoa,cong nghe ky thuat dieu khien tu dong hoa
1897,Đại học văn hiến,dai hoc van hien,dai hoc van hien,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
1898,Viện Y học cổ truyền Quân đội,vien y hoc co truyen quan doi,CannotFound,Y Học Cổ Truyền,y hoc co truyen,y hoc co truyen
1899,RMIT University Vietnam,rmit university vietnam,dai hoc anh quoc viet nam,0,0,0
1900,Đại học quốc tê Hồ Chí Minh,dai hoc quoc te hcm,dai hoc quoc gia hcm,0,0,0
1901,Đại Học Nội Vụ,dai hoc noi vu,dai hoc noi vu,Quản trị nhân lực,quan tri nhan luc,quan tri nhan luc
1902,Học Viện Nông Nghiệp Việt Nam,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,0,0,0
1903, Trường Cao đẳng Y tế Phú Thọ,cao dang y te phu tho,cao dang y te phu tho,0,0,0
1904,THPT Kim Xuyên-Sơn Dương,trung hoc pho thong kim xuyen son duong,trung hoc pho thong kim xuyen son duong,0,0,0
1905,Đại học Công nghiệp Thực phẩm TP.HCM Sinh viên,dai hoc cong nghiep thuc pham hcm sinh vien,dai hoc cong nghiep thuc pham hcm sinh vien,0,0,0
1906,Học Viện Kỹ Thuật Quân Sự (MTA) ·,hoc vien ky thuat quan su,hoc vien ky thuat quan su, Cơ điện tử,co dien tu,ky thuat co dien tu
1907,THPT Nguyễn Thái Bình,trung hoc pho thong nguyen thai binh,trung hoc pho thong nguyen thai binh,0,0,0
1908,Đại học Bách Khoa TPHCM,dai hoc bach khoa hcm,dai hoc bach khoa hcm, Quản Lý Công Nghiệp,quan ly cong nghiep,quan ly cong nghiep
