raw,new,score
THPT Ngô Gia Tự,thpt ngo gia tu,40
trường đại học Bình Dương,dai hoc binh duong,47
ĐH Kinh doanh và Công Nghệ , dai hoc  kinh doanh cong nghe,56
ĐH Kinh tế quốc dân, dai hoc  kinh te quoc dan,58
Đại học Kinh tế - Tài chính TPHCM,dai hoc kinh te   tai chinh hcm,59
Trường Cao Đẳng Công Thương TP.HCM,cao dang cong thuong  hcm,44
Trường Đại Học Sư Phạm Kỹ Thuật TP.HCM,dai hoc su pham ky thuat  hcm,39
Trường Cao Đẳng Thương Mại,cao dang thuong mai,49
Đại học Quy Nhơn,dai hoc quy nhon,62
CAO ĐẲNG GIAO THÔNG THÁI NGUYÊN,cao dang giao thong thai nguyen,16
ĐẠI HỌC KINH TẾ QUỐC DÂN,dai hoc kinh te quoc dan,21
Trường Cao đẳng công nghệ TP Đà nẵng,cao dang cong nghe  da nang,60
Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,66
ĐH Tôn Đức Thắng, dai hoc  ton duc thang,41
Đại học Thương mại,dai hoc thuong mai,61
Đại học Trà Vinh,dai hoc tra vinh,62
Đại học Quốc gia Belarus,dai hoc quoc gia belarus,75
Học viện Tài chính LB Nga,hoc vien tai chinh lb nga,64
Trường DH kỹ thuật công nghệ, dai hoc  ky thuat cong nghe,57
Trường Đại học Thương Mại Hà Nội,dai hoc thuong mai ha noi,46
Hong Bang University ,hong bang university,83
Đại học kinh tế tpHCM,dai hoc kinh te hcm,60
Đại học kinh tế tpHCM,dai hoc kinh te hcm,60
trường đại học tây nguyên,dai hoc tay nguyen,60
thpt bình phú,thpt binh phu,93
thpt bình phú,thpt binh phu,93
thpt bình phú,thpt binh phu,93
FPT University,fpt university,71
Fpt Polytechnic,fpt polytechnic,87
thpt trần hưng đạo,thpt tran hung dao,78
"Đại học Hà Nội, Đại học Ngoại Thương",dai hoc ha noi  dai hoc ngoai thuong,56
Đại học Sài Gòn,dai hoc sai gon,53
University of Economics HCM city,university of economics hcm city,84
đh văn hiến, dai hoc  van hien,53
University of Sunderland,university of sunderland,92
học viện tài chính,hoc vien tai chinh,78
Trường trung cấp Đà Nẵng,trung cap da nang,59
Đại Học Lạc Hồng,dai hoc lac hong,50
ĐH Xây Dựng Hà Nội, dai hoc  xay dung ha noi,37
ĐH BÌNH DƯƠNG, dai hoc  binh duong,12
ĐH BÌNH DƯƠNG, dai hoc  binh duong,12
ĐH BÌNH DƯƠNG, dai hoc  binh duong,12
da nghi hoc,da nghi hoc,100
CAO ĐẲNG CÔNG NGHIỆP QUỐC PHÒNG,cao dang cong nghiep quoc phong,16
Trường Đại Học Y Dược Huế,dai hoc y duoc hue,37
Đại Học Cửu Long,dai hoc cuu long,56
Đại Học Cần Thơ,dai hoc can tho,47
Đại học Kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,68
đại học xây dựng,dai hoc xay dung,69
Nguyen Tat Thanh University,nguyen tat thanh university,85
Đại học Giao thông vận tải,dai hoc giao thong van tai,79
hướng nghiệp Á Âu,huong nghiep a au,71
trường Giao thông Vận tải 3,giao thong van tai 3,68
Đại học bách khoa Đà Nẵng,dai hoc bach khoa da nang,68
học viện báo chí và tuyên truyền,hoc vien bao chi tuyen truyen,75
Đại học thương mại,dai hoc thuong mai,67
Trường Cao Đẳng Thương Mại - Đà Nẵng,cao dang thuong mai   da nang,49
cao đẳng xây dựng số 2,cao dang xay dung so 2,77
Trường đại học Ngoại ngữ - Tin học Tp.Hcm,dai hoc ngoai ngu   tin hoc  hcm,58
DHXD Miền Tây, dai hoc xd mien tay,30
Đại học kinh tế quốc dân,dai hoc kinh te quoc dan,75
"đại học công nghiệp, đại học kinh tế",dai hoc cong nghiep  dai hoc kinh te,72
Đại học sư phạm hà nội,dai hoc su pham ha noi,68
THPT Phạm Hồng Thái,thpt pham hong thai,47
cao đẳng nghề du lịch Đà Nẵng,cao dang nghe du lich da nang,72
đại học kiến trúc hà nội,dai hoc kien truc ha noi,71
Đại học công nghiệp Tp.HCM,dai hoc cong nghiep  hcm,60
Đại Học Hoa Sen,dai hoc hoa sen,60
Đại Học Hoa Sen,dai hoc hoa sen,60
Đại học Ngoại Thương,dai hoc ngoai thuong,60
