,school,major,example_school,data_school,example_major,data_major
7829,Đại học công nghệ thành phố hồ chí minh,Công nghệ thông tin,dai hoc cong nghe hcm,dai hoc cong nghe hcm,cong nghe sinh hoc,cong nghe thong tin
7830,Đại học Kinh tế Quốc dân,Kinh tế tài nguyên,dai hoc lao dong xa hoi,dai hoc kinh te quoc dan,ke toan,kinh te tai nguyen thien nhien
7831,Đại học Ngoại Ngữ TP HCM,Quan hệ Quốc tế,cao dang y te dong nai,dai hoc ngoai ngu hue,duoc hoc,quan he quoc te
7832,Cao đẳng nghề số 8,Công nghệ thông tin,dai hoc ha noi,cao dang nghe so 8,su pham tieng anh,cong nghe thong tin
7833,hotec,quản trị kinh doanh,cao dang tai chinh hai quan,CannotFound,kinh doanh nong nghiep,quan tri kinh doanh
7834,Đại Học Cần Thơ,Sư phạm tiếng pháp,dai hoc dong thap,dai hoc can tho,quan tri kinh doanh,su pham tieng phap
7835,trung cấp nghề nha trang,cơ khí,dai hoc mo hcm,CannotFound,kien truc canh quan,co khi
7836,THPT Mạc Đĩnh Chi,THPT,dai hoc cong nghiep hcm,trung hoc pho thong mac dinh chi,marketing,trung hoc pho thong
7837,Đại học Quy Nhơn,Văn học,trung hoc pho thong,dai hoc quy nhon,trung cap,van hoc
7838,trường trung cấp quân y,y tá sơ cấp,dai hoc ton duc thang,CannotFound,ke toan,y ta so cap
7839,trường cao đẳng nghề số 20,công nghệ oto,trung cap,cao dang nghe so 20,lai xe,cong nghe oto
7840,cao đẳng thực hành fpt,marketting,dai hoc su pham ky thuat hcm,cao dang thuc hanh fpt,dien cong nghiep,marketing
7841,trường đại học xây dựng miền tây,xây dựng dân dụng-cong nghiệp,cao dang y te thai binh,dai hoc xay dung mien tay,dieu duong,xay dung dan dung cong nghiep
7842,trường THB.  phú hiệp,7/12,trung hoc co so,CannotFound,thuong mai dien tu,7/12
7843,cong nghiep 2,dien cong nghiep va dan dung,dai hoc duy tan,dai hoc cong nghiep hcm,quan ly benh vien,dien cong nghiep dan dung
7844,ki thuat cong nghiep 2,dien cong nghiep va dan dung,dai hoc hoa sen,CannotFound,cong nghe thong tin,dien cong nghiep dan dung
7845,Đại học lâm nghiệp Việt Nam,Quản lý tài nguyên thiên nhiên,dai hoc quang trung,dai hoc lam nghiep,ke toan,quan ly tai nguyen thien nhien
7846,Trung cấp KT KT Công thương CCI,Công nghệ thông tin,dai hoc nam cross,CannotFound,truyen thong da phuong tien,cong nghe thong tin
7847,Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,Xã Hội Học,hoc vien quan y,dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,y da khoa,xa hoi hoc
7848,đại học sư phạm -đại học đà nẵng,khoa học môi trườn,cao dang y te binh thuan,dai hoc su pham da nang,y da khoa,khoa hoc moi truong
7849,đại học duy tân,kế toán doanh nghiệp,cao dang nghe da lat,dai hoc duy tan,ke toan doanh nghiep,ke toan doanh nghiep
7850,Đại học Điện Lực,Hệ thống,dai hoc phu xuan,dai hoc dien luc,gom,he thong
7851,Đại học Công Nghệ Tp.Hồ Chí Minh,công nghệ sinh học,trung hoc pho thong,dai hoc cong nghe hcm,ly luan lich su phe binh my thuat,cong nghe sinh hoc
7852,đại học lao động xã hội tphcm,kế toán,cao dang cong nghiep viet duc,dai hoc lao dong xa hoi,co khi che tao,ke toan
7853,cao đẳng y tế đồng nai,dược sỹ,dai hoc su pham ky thuat hung yen,cao dang y te dong nai,thiet ke thoi trang,duoc sy
7854,đại học hà nội,tiếng anh,dai hoc kinh te quoc dan,dai hoc ha noi,thuong mai dien tu,su pham tieng anh
7855,Cao đẳng Tài chính Hải quan,Kinh doanh ngân hàng,hoc vien phu nu viet nam,cao dang tai chinh hai quan,cong tac xa hoi,kinh doanh ngan hang
7856,Đại học Đồng Tháp,Quản trị kinh doanh,dai hoc khoa hoc tu nhien hcm,dai hoc dong thap,quan ly tai nguyen moi truong,quan tri kinh doanh
7857,ĐH MỞ,Quan Tri KD,dai hoc luat hcm,dai hoc mo hcm,ngon ngu anh,quan tri kd
7858,Đại học Công nghiệp TpHCM,Marketing,cao dang cong nghiep thai nguyen,dai hoc cong nghiep hcm,thuy van hoc,marketing
7859,Trường Trung học phổ thông Lý Tự Trọng,Trường Trung Cấp Tổng Hợp TPHCM,vien dai hoc mo ha noi,trung hoc pho thong ly tu trong,tai chinh ngan hang,trung cap tong hop hcm
7860,đại học tôn đức thắng,kế toán,dai hoc cong nghe giao thong van tai,dai hoc ton duc thang,trung tam,ke toan
7861,trung cấp nghề số 10,lái xe bằng B2,dai hoc ba ria vung tau,CannotFound,hoa hoc,lai xe bang b2
7862,Đại họ sư phạm kỹ thuật tp hồ chí minh,điện tử công nghiệp,dai hoc khoa hoc xa hoi nhan van ha noi,dai hoc su pham ky thuat hcm,van hoc,dien tu cong nghiep
7863,cao đẳng y tế thái bình,điều dưỡng đa khoa,cao dang cong nghe thong tin hcm,cao dang y te thai binh,quan tri kinh doanh,dieu duong
7864,Trung Học Cơ Sở Song Thuận,điện tử,cao dang kinh te hcm,trung hoc co so song thuan,quan tri kinh doanh,dien tu
7865,Duy Tan University,Hospitality and Tourism Management,cao dang cong thuong hcm,dai hoc duy tan,kinh doanh xuat nhap khau,hospitality and tourism management
7866,Hoa Sen,CNTT,dai hoc can tho,dai hoc hoa sen,chan nuoi thu y,cong nghe thong tin
7867,Đại HỌc Quang Trung,kế toán,dai hoc quy nhon,dai hoc quang trung,quan tri kinh doanh,ke toan
7868,SKT - SSU,Truyền thông đa phương tiện,cao dang nghe quoc te hcm,CannotFound,ke toan doanh nghiep,truyen thong da phuong tien
